Reviewer_ID,Reviewer_Level,Target_Level,Reviewee_1_ID,Reviewee_1_Story,Reviewee_2_ID,Reviewee_2_Story,Reviewee_3_ID,Reviewee_3_Story
494090,4,3,577893,しかし靴紐がほどけていた。誰も見ていない。彼は静かにボールを構えた。ボールが天井に刺さった。狙撃銃を取り出した。,174228,ボールが天井に刺さった。店員がアサシンだった。ストライクが出ると爆発する。スコアはゼロだ。全ては幻覚だったのかもしれない。,524534,全ては幻覚だったのかもしれない。隣のレーンから悲鳴が聞こえる。スナイパーは微笑んだ。プロの技を見せつける時が来た。ピンが逃げ出した。
866746,4,3,183009,筋肉痛がひどい。しかし靴紐がほどけていた。隣のレーンから悲鳴が聞こえる。プロの技を見せつける時が来た。しかし、指が抜けなくなった。ガーターに吸い込まれる。,665763,猫が横切った。しかし靴紐がほどけていた。重力が歪んでいる。ストライクが出ると爆発する。誰も見ていない。隣のレーンから悲鳴が聞こえる。,597393,スコアはゼロだ。これはボウリングではない。ボールが天井に刺さった。
975644,4,3,621691,スコアはゼロだ。実はボールは爆弾だった。彼は静かにボールを構えた。ボールが天井に刺さった。ピンが逃げ出した。,115043,ピンが逃げ出した。彼は静かにボールを構えた。筋肉痛がひどい。,717074,ピンが逃げ出した。ボールが天井に刺さった。しかし靴紐がほどけていた。隣のレーンから悲鳴が聞こえる。しかし、指が抜けなくなった。
819261,4,3,597393,スコアはゼロだ。これはボウリングではない。ボールが天井に刺さった。,174228,ボールが天井に刺さった。店員がアサシンだった。ストライクが出ると爆発する。スコアはゼロだ。全ては幻覚だったのかもしれない。,183009,筋肉痛がひどい。しかし靴紐がほどけていた。隣のレーンから悲鳴が聞こえる。プロの技を見せつける時が来た。しかし、指が抜けなくなった。ガーターに吸い込まれる。
386025,4,3,630404,重力が歪んでいる。ガーターに吸い込まれる。筋肉痛がひどい。スナイパーは微笑んだ。これはボウリングではない。,724641,ストライクが出ると爆発する。隣のレーンから悲鳴が聞こえる。彼は静かにボールを構えた。しかし、指が抜けなくなった。,597393,スコアはゼロだ。これはボウリングではない。ボールが天井に刺さった。
187109,4,3,630404,重力が歪んでいる。ガーターに吸い込まれる。筋肉痛がひどい。スナイパーは微笑んだ。これはボウリングではない。,183009,筋肉痛がひどい。しかし靴紐がほどけていた。隣のレーンから悲鳴が聞こえる。プロの技を見せつける時が来た。しかし、指が抜けなくなった。ガーターに吸い込まれる。,850277,狙撃銃を取り出した。プロの技を見せつける時が来た。スナイパーは微笑んだ。
216247,4,3,665763,猫が横切った。しかし靴紐がほどけていた。重力が歪んでいる。ストライクが出ると爆発する。誰も見ていない。隣のレーンから悲鳴が聞こえる。,620156,筋肉痛がひどい。全ては幻覚だったのかもしれない。ストライクが出ると爆発する。隣のレーンから悲鳴が聞こえる。誰も見ていない。,115043,ピンが逃げ出した。彼は静かにボールを構えた。筋肉痛がひどい。
385744,4,3,724641,ストライクが出ると爆発する。隣のレーンから悲鳴が聞こえる。彼は静かにボールを構えた。しかし、指が抜けなくなった。,665763,猫が横切った。しかし靴紐がほどけていた。重力が歪んでいる。ストライクが出ると爆発する。誰も見ていない。隣のレーンから悲鳴が聞こえる。,160048,ガーターに吸い込まれる。店員がアサシンだった。ピンが逃げ出した。
105646,4,3,630404,重力が歪んでいる。ガーターに吸い込まれる。筋肉痛がひどい。スナイパーは微笑んだ。これはボウリングではない。,524534,全ては幻覚だったのかもしれない。隣のレーンから悲鳴が聞こえる。スナイパーは微笑んだ。プロの技を見せつける時が来た。ピンが逃げ出した。,597393,スコアはゼロだ。これはボウリングではない。ボールが天井に刺さった。
577893,3,2,519630,ストライクが出ると爆発する。ガーターに吸い込まれる。実はボールは爆弾だった。店員がアサシンだった。,865614,狙撃銃を取り出した。ピンが逃げ出した。実はボールは爆弾だった。ストライクが出ると爆発する。重力が歪んでいる。誰も見ていない。,235198,狙撃銃を取り出した。これはボウリングではない。猫が横切った。全ては幻覚だったのかもしれない。
724641,3,2,430494,ガーターに吸い込まれる。しかし、指が抜けなくなった。スコアはゼロだ。ストライクが出ると爆発する。猫が横切った。,600076,全ては幻覚だったのかもしれない。重力が歪んでいる。ピンが逃げ出した。,326317,全ては幻覚だったのかもしれない。店員がアサシンだった。筋肉痛がひどい。実はボールは爆弾だった。狙撃銃を取り出した。
717074,3,2,600076,全ては幻覚だったのかもしれない。重力が歪んでいる。ピンが逃げ出した。,171606,店員がアサシンだった。猫が横切った。彼は静かにボールを構えた。隣のレーンから悲鳴が聞こえる。筋肉痛がひどい。ピンが逃げ出した。,519630,ストライクが出ると爆発する。ガーターに吸い込まれる。実はボールは爆弾だった。店員がアサシンだった。
630404,3,2,524004,猫が横切った。隣のレーンから悲鳴が聞こえる。筋肉痛がひどい。プロの技を見せつける時が来た。,171606,店員がアサシンだった。猫が横切った。彼は静かにボールを構えた。隣のレーンから悲鳴が聞こえる。筋肉痛がひどい。ピンが逃げ出した。,235198,狙撃銃を取り出した。これはボウリングではない。猫が横切った。全ては幻覚だったのかもしれない。
115043,3,2,519630,ストライクが出ると爆発する。ガーターに吸い込まれる。実はボールは爆弾だった。店員がアサシンだった。,171606,店員がアサシンだった。猫が横切った。彼は静かにボールを構えた。隣のレーンから悲鳴が聞こえる。筋肉痛がひどい。ピンが逃げ出した。,430494,ガーターに吸い込まれる。しかし、指が抜けなくなった。スコアはゼロだ。ストライクが出ると爆発する。猫が横切った。
183009,3,2,306122,隣のレーンから悲鳴が聞こえる。しかし靴紐がほどけていた。重力が歪んでいる。ストライクが出ると爆発する。ガーターに吸い込まれる。,235198,狙撃銃を取り出した。これはボウリングではない。猫が横切った。全ては幻覚だったのかもしれない。,528085,狙撃銃を取り出した。ストライクが出ると爆発する。ピンが逃げ出した。
597393,3,2,430494,ガーターに吸い込まれる。しかし、指が抜けなくなった。スコアはゼロだ。ストライクが出ると爆発する。猫が横切った。,326317,全ては幻覚だったのかもしれない。店員がアサシンだった。筋肉痛がひどい。実はボールは爆弾だった。狙撃銃を取り出した。,541260,スコアはゼロだ。ボールが天井に刺さった。猫が横切った。
160048,3,2,326317,全ては幻覚だったのかもしれない。店員がアサシンだった。筋肉痛がひどい。実はボールは爆弾だった。狙撃銃を取り出した。,430494,ガーターに吸い込まれる。しかし、指が抜けなくなった。スコアはゼロだ。ストライクが出ると爆発する。猫が横切った。,171606,店員がアサシンだった。猫が横切った。彼は静かにボールを構えた。隣のレーンから悲鳴が聞こえる。筋肉痛がひどい。ピンが逃げ出した。
563198,3,2,430494,ガーターに吸い込まれる。しかし、指が抜けなくなった。スコアはゼロだ。ストライクが出ると爆発する。猫が横切った。,235198,狙撃銃を取り出した。これはボウリングではない。猫が横切った。全ては幻覚だったのかもしれない。,519630,ストライクが出ると爆発する。ガーターに吸い込まれる。実はボールは爆弾だった。店員がアサシンだった。
620156,3,2,600076,全ては幻覚だったのかもしれない。重力が歪んでいる。ピンが逃げ出した。,541260,スコアはゼロだ。ボールが天井に刺さった。猫が横切った。,865614,狙撃銃を取り出した。ピンが逃げ出した。実はボールは爆弾だった。ストライクが出ると爆発する。重力が歪んでいる。誰も見ていない。
621691,3,2,171606,店員がアサシンだった。猫が横切った。彼は静かにボールを構えた。隣のレーンから悲鳴が聞こえる。筋肉痛がひどい。ピンが逃げ出した。,541260,スコアはゼロだ。ボールが天井に刺さった。猫が横切った。,528085,狙撃銃を取り出した。ストライクが出ると爆発する。ピンが逃げ出した。
665763,3,2,306122,隣のレーンから悲鳴が聞こえる。しかし靴紐がほどけていた。重力が歪んでいる。ストライクが出ると爆発する。ガーターに吸い込まれる。,235198,狙撃銃を取り出した。これはボウリングではない。猫が横切った。全ては幻覚だったのかもしれない。,865614,狙撃銃を取り出した。ピンが逃げ出した。実はボールは爆弾だった。ストライクが出ると爆発する。重力が歪んでいる。誰も見ていない。
174228,3,2,171606,店員がアサシンだった。猫が横切った。彼は静かにボールを構えた。隣のレーンから悲鳴が聞こえる。筋肉痛がひどい。ピンが逃げ出した。,326317,全ては幻覚だったのかもしれない。店員がアサシンだった。筋肉痛がひどい。実はボールは爆弾だった。狙撃銃を取り出した。,524004,猫が横切った。隣のレーンから悲鳴が聞こえる。筋肉痛がひどい。プロの技を見せつける時が来た。
850277,3,2,171606,店員がアサシンだった。猫が横切った。彼は静かにボールを構えた。隣のレーンから悲鳴が聞こえる。筋肉痛がひどい。ピンが逃げ出した。,524004,猫が横切った。隣のレーンから悲鳴が聞こえる。筋肉痛がひどい。プロの技を見せつける時が来た。,326317,全ては幻覚だったのかもしれない。店員がアサシンだった。筋肉痛がひどい。実はボールは爆弾だった。狙撃銃を取り出した。
524534,3,2,306122,隣のレーンから悲鳴が聞こえる。しかし靴紐がほどけていた。重力が歪んでいる。ストライクが出ると爆発する。ガーターに吸い込まれる。,235198,狙撃銃を取り出した。これはボウリングではない。猫が横切った。全ては幻覚だったのかもしれない。,519630,ストライクが出ると爆発する。ガーターに吸い込まれる。実はボールは爆弾だった。店員がアサシンだった。
928671,3,2,171606,店員がアサシンだった。猫が横切った。彼は静かにボールを構えた。隣のレーンから悲鳴が聞こえる。筋肉痛がひどい。ピンが逃げ出した。,600076,全ては幻覚だったのかもしれない。重力が歪んでいる。ピンが逃げ出した。,326317,全ては幻覚だったのかもしれない。店員がアサシンだった。筋肉痛がひどい。実はボールは爆弾だった。狙撃銃を取り出した。
524004,2,1,655243,店員がアサシンだった。ストライクが出ると爆発する。誰も見ていない。スナイパーは微笑んだ。,628381,誰も見ていない。しかし靴紐がほどけていた。筋肉痛がひどい。全ては幻覚だったのかもしれない。彼は静かにボールを構えた。実はボールは爆弾だった。,974965,狙撃銃を取り出した。全ては幻覚だったのかもしれない。猫が横切った。ピンが逃げ出した。実はボールは爆弾だった。ガーターに吸い込まれる。
519630,2,1,974965,狙撃銃を取り出した。全ては幻覚だったのかもしれない。猫が横切った。ピンが逃げ出した。実はボールは爆弾だった。ガーターに吸い込まれる。,628381,誰も見ていない。しかし靴紐がほどけていた。筋肉痛がひどい。全ては幻覚だったのかもしれない。彼は静かにボールを構えた。実はボールは爆弾だった。,655243,店員がアサシンだった。ストライクが出ると爆発する。誰も見ていない。スナイパーは微笑んだ。
541260,2,1,655243,店員がアサシンだった。ストライクが出ると爆発する。誰も見ていない。スナイパーは微笑んだ。,974965,狙撃銃を取り出した。全ては幻覚だったのかもしれない。猫が横切った。ピンが逃げ出した。実はボールは爆弾だった。ガーターに吸い込まれる。,685420,これはボウリングではない。実はボールは爆弾だった。猫が横切った。しかし、指が抜けなくなった。
171606,2,1,655243,店員がアサシンだった。ストライクが出ると爆発する。誰も見ていない。スナイパーは微笑んだ。,628381,誰も見ていない。しかし靴紐がほどけていた。筋肉痛がひどい。全ては幻覚だったのかもしれない。彼は静かにボールを構えた。実はボールは爆弾だった。,974965,狙撃銃を取り出した。全ては幻覚だったのかもしれない。猫が横切った。ピンが逃げ出した。実はボールは爆弾だった。ガーターに吸い込まれる。
235198,2,1,974965,狙撃銃を取り出した。全ては幻覚だったのかもしれない。猫が横切った。ピンが逃げ出した。実はボールは爆弾だった。ガーターに吸い込まれる。,628381,誰も見ていない。しかし靴紐がほどけていた。筋肉痛がひどい。全ては幻覚だったのかもしれない。彼は静かにボールを構えた。実はボールは爆弾だった。,655243,店員がアサシンだった。ストライクが出ると爆発する。誰も見ていない。スナイパーは微笑んだ。
326317,2,1,628381,誰も見ていない。しかし靴紐がほどけていた。筋肉痛がひどい。全ては幻覚だったのかもしれない。彼は静かにボールを構えた。実はボールは爆弾だった。,685420,これはボウリングではない。実はボールは爆弾だった。猫が横切った。しかし、指が抜けなくなった。,974965,狙撃銃を取り出した。全ては幻覚だったのかもしれない。猫が横切った。ピンが逃げ出した。実はボールは爆弾だった。ガーターに吸い込まれる。
306122,2,1,974965,狙撃銃を取り出した。全ては幻覚だったのかもしれない。猫が横切った。ピンが逃げ出した。実はボールは爆弾だった。ガーターに吸い込まれる。,685420,これはボウリングではない。実はボールは爆弾だった。猫が横切った。しかし、指が抜けなくなった。,628381,誰も見ていない。しかし靴紐がほどけていた。筋肉痛がひどい。全ては幻覚だったのかもしれない。彼は静かにボールを構えた。実はボールは爆弾だった。
528085,2,1,685420,これはボウリングではない。実はボールは爆弾だった。猫が横切った。しかし、指が抜けなくなった。,974965,狙撃銃を取り出した。全ては幻覚だったのかもしれない。猫が横切った。ピンが逃げ出した。実はボールは爆弾だった。ガーターに吸い込まれる。,628381,誰も見ていない。しかし靴紐がほどけていた。筋肉痛がひどい。全ては幻覚だったのかもしれない。彼は静かにボールを構えた。実はボールは爆弾だった。
865614,2,1,974965,狙撃銃を取り出した。全ては幻覚だったのかもしれない。猫が横切った。ピンが逃げ出した。実はボールは爆弾だった。ガーターに吸い込まれる。,628381,誰も見ていない。しかし靴紐がほどけていた。筋肉痛がひどい。全ては幻覚だったのかもしれない。彼は静かにボールを構えた。実はボールは爆弾だった。,685420,これはボウリングではない。実はボールは爆弾だった。猫が横切った。しかし、指が抜けなくなった。
600076,2,1,974965,狙撃銃を取り出した。全ては幻覚だったのかもしれない。猫が横切った。ピンが逃げ出した。実はボールは爆弾だった。ガーターに吸い込まれる。,655243,店員がアサシンだった。ストライクが出ると爆発する。誰も見ていない。スナイパーは微笑んだ。,628381,誰も見ていない。しかし靴紐がほどけていた。筋肉痛がひどい。全ては幻覚だったのかもしれない。彼は静かにボールを構えた。実はボールは爆弾だった。
430494,2,1,628381,誰も見ていない。しかし靴紐がほどけていた。筋肉痛がひどい。全ては幻覚だったのかもしれない。彼は静かにボールを構えた。実はボールは爆弾だった。,974965,狙撃銃を取り出した。全ては幻覚だったのかもしれない。猫が横切った。ピンが逃げ出した。実はボールは爆弾だった。ガーターに吸い込まれる。,685420,これはボウリングではない。実はボールは爆弾だった。猫が横切った。しかし、指が抜けなくなった。
685420,1,None,N/A,N/A,N/A,N/A,N/A,N/A
655243,1,None,N/A,N/A,N/A,N/A,N/A,N/A
628381,1,None,N/A,N/A,N/A,N/A,N/A,N/A
974965,1,None,N/A,N/A,N/A,N/A,N/A,N/A
